first_name,last_name,email,age,location,client_tenure,interaction_freq,last_interaction_date,portfolio_value,investment_growth,survey_results,login_freq,time_spent_on_cw,stay_leave
Trula,Twining,ttwining0@symantec.com,75,California,11.74,medium,12/14/24,"$1,672,228.37",-4.21,43.96,5,7.91,1
Selle,Ewbanke,sewbanke1@deviantart.com,77,California,13.17,medium,12/27/24,"$9,336,156.44",7.2,81.39,6,2.45,0
Hubey,Maroney,hmaroney2@simplemachines.org,25,California,1.01,medium,12/31/24,"$636,913.57",6.83,81.99,2,2.37,0
Emerson,Exell,eexell3@vk.com,58,California,9.11,low,1/3/25,"$3,761,401.84",8.75,86,3,2.71,0
Leonard,MacRierie,lmacrierie4@cafepress.com,42,Washington,4.52,low,12/11/24,"$4,763,057.64",7.31,78.19,24,9.53,0
Patience,Kolodziejski,pkolodziejski5@storify.com,76,Washington,16.39,high,1/17/25,"$935,831.98",-3.01,56.39,14,7.16,0
Isobel,Fowlds,ifowlds6@bbb.org,66,California,15.09,low,1/1/25,"$4,928,919.29",17.27,72.9,29,17.1,0
Hazel,Fentem,hfentem7@4shared.com,68,California,20.98,medium,1/20/25,"$4,039,939.65",13.31,74.25,26,19.91,0
Ab,Lothean,alothean8@bbc.co.uk,26,California,2.86,medium,12/24/24,"$5,206,664.69",3.92,66.44,23,10.87,0
Pearle,Althorp,palthorp9@ca.gov,42,California,8.31,low,1/2/25,"$6,618,189.81",4.81,64.39,19,14.98,0
Myrle,Ranking,mrankinga@friendfeed.com,35,California,9.26,low,1/6/25,"$9,226,361.96",5.73,71.16,28,19.47,0
Thacher,Lenz,tlenzb@economist.com,66,Nevada,12.91,high,12/17/24,"$129,555.35",7.63,82.8,6,2,0
Patty,Dorling,pdorlingc@blogtalkradio.com,59,Washington,11.6,high,12/9/24,"$6,617,320.63",8.81,67.99,26,11.03,0
Tierney,Legrand,tlegrandd@tumblr.com,70,California,15.25,medium,12/18/24,"$3,261,801.25",11.91,88.67,10,7.7,0
Bambie,Murkin,bmurkine@un.org,32,California,3.1,medium,1/6/25,"$8,795,821.11",1.22,63.27,23,14.14,0
Calley,Rawcliffe,crawcliffef@ibm.com,45,Arizona,6.63,low,12/13/24,"$8,292,960.91",4.55,76.53,23,22.01,0
Bryce,Zouch,bzouchg@state.gov,44,California,9.85,medium,1/10/25,"$1,191,847.96",9.56,75.51,5,6.93,0
Renie,Lafrentz,rlafrentzh@chronoengine.com,52,California,11.18,low,1/4/25,"$4,738,341.13",5.86,87.63,23,17.61,0
Ivette,Leadbeater,ileadbeateri@addthis.com,67,Oregon,16.17,low,12/30/24,"$335,851.18",3.4,73.07,2,5.57,0
Nollie,Catterick,ncatterickj@cnet.com,78,California,12.36,low,12/27/24,"$7,719,982.59",-3.33,46.64,17,9.92,1
Eustacia,Penning,epenningk@tuttocitta.it,44,California,7.9,high,12/26/24,"$3,151,990.75",-0.24,65.04,6,1.95,0
Mollee,Prickett,mprickettl@wikia.com,78,California,12.11,high,12/22/24,"$5,394,434.18",8.72,77.69,15,9.47,0
Bourke,Arnao,barnaom@nydailynews.com,45,California,7.03,medium,12/27/24,"$6,915,872.56",2.57,79.81,17,8.72,0
Caralie,Shubotham,cshubothamn@indiegogo.com,44,California,5.26,low,1/5/25,"$7,227,128.75",0.57,64.16,3,3.51,0
Salvatore,Fender,sfendero@i2i.jp,42,Washington,6.74,low,1/20/25,"$741,927.30",4.35,84.73,12,6.29,0
Monro,Hooke,mhookep@accuweather.com,58,Oregon,17.12,medium,1/14/25,"$3,629,127.79",3.05,68.92,3,2.46,0
Marlin,Jehan,mjehanq@4shared.com,72,Arizona,19,low,1/12/25,"$8,232,506.92",13.05,73.53,1,0.14,0
Ives,Meadowcroft,imeadowcroftr@jimdo.com,75,Arizona,16.5,high,1/5/25,"$2,140,811.90",8.54,78.45,30,17.35,0
Willis,Blackler,wblacklers@scientificamerican.com,38,Washington,4.83,low,12/24/24,"$7,934,970.95",5.43,86.98,3,4.86,0
Izak,Lynam,ilynamt@latimes.com,34,California,10.59,low,12/12/24,"$6,962,556.04",3.51,69.2,24,19.2,0
Karmen,Janovsky,kjanovskyu@eepurl.com,70,California,9.34,low,1/21/25,"$1,164,848.79",18.88,78.84,26,7.62,0
Lea,Ruusa,lruusav@blinklist.com,30,California,6.5,high,12/7/24,"$9,566,756.73",4.36,60.83,30,12.17,0
Cortney,Towlson,ctowlsonw@mayoclinic.com,54,California,15.95,low,1/23/25,"$7,355,871.72",10.36,77.87,16,15.45,0
Lucais,MacKellen,lmackellenx@discovery.com,59,Washington,17.92,high,12/12/24,"$5,793,843.43",14.61,77.59,8,4.88,0
Diarmid,Currm,dcurrmy@newyorker.com,54,Nevada,17.85,high,1/2/25,"$4,365,183.31",12.67,80.83,11,12.08,0
Redford,Verillo,rverilloz@hostgator.com,72,California,14.43,high,1/5/25,"$4,232,585.13",4.89,61.09,26,11.89,0
Dyanne,McVane,dmcvane10@army.mil,36,California,9.78,medium,12/15/24,"$7,631,049.22",7.22,76.41,14,5.72,0
Vicki,Osichev,vosichev11@hud.gov,78,California,14.7,medium,12/21/24,"$1,678,444.68",3.55,76.74,4,0.39,0
Kelwin,Luckwell,kluckwell12@flickr.com,35,California,7.89,low,12/12/24,"$7,827,972.78",0.59,68.56,23,19.26,1
Anstice,Yule,ayule13@foxnews.com,77,California,12.32,high,1/17/25,"$5,993,498.20",8.46,69.98,7,8.67,0
Violetta,Haskell,vhaskell14@blinklist.com,59,Washington,18.89,low,12/15/24,"$3,344,440.49",14.24,85.39,1,0.63,0
Andreas,Prettejohns,aprettejohns15@umn.edu,46,Nevada,8.38,low,1/11/25,"$3,454,481.46",2.05,70.69,16,13.66,0
Jolynn,Bleasdille,jbleasdille16@unesco.org,36,California,8.93,low,12/27/24,"$2,479,883.91",14.29,80.93,6,4.58,0
Winnie,Backhouse,wbackhouse17@home.pl,36,California,7.04,low,12/10/24,"$5,842,403.82",2.54,57.96,4,1.23,1
Lewiss,Erat,lerat18@google.es,48,Oregon,8.45,medium,1/3/25,"$1,609,757.96",7.08,85.25,30,10.87,0
Cam,Olfert,colfert19@answers.com,27,Washington,2.41,low,12/28/24,"$2,134,591.94",-2.02,48.72,16,12.8,1
Craggie,Kerford,ckerford1a@blogtalkradio.com,28,California,1.72,medium,12/15/24,"$2,075,486.04",-2.31,49.9,14,4.86,0
Elly,Thornley,ethornley1b@deviantart.com,78,California,18.25,high,12/17/24,"$1,641,019.02",4.26,86.38,10,9.56,0
Noah,Stonelake,nstonelake1c@hatena.ne.jp,45,Washington,5.67,medium,1/21/25,"$8,097,302.14",4.07,70.37,28,15.61,0
Vera,Dawtrey,vdawtrey1d@imdb.com,53,Washington,17.65,low,12/25/24,"$9,187,018.56",24.46,82.25,18,16.66,0
Andria,Mibourne,amibourne1e@digg.com,55,California,11.31,low,12/9/24,"$6,463,866.82",8.72,75.26,14,3.13,0
Anna-diane,McGovern,amcgovern1f@list-manage.com,50,Washington,3.97,medium,1/23/25,"$7,195,328.47",7.22,80.5,1,3.01,0
Jecho,Loxley,jloxley1g@reddit.com,72,Washington,15.65,medium,12/7/24,"$3,025,512.59",13.66,67.11,23,21.15,0
Francklyn,Hutchings,fhutchings1h@sbwire.com,51,California,14.31,low,1/12/25,"$997,589.39",14.63,77.62,13,5.82,0
Vivianne,Wigzell,vwigzell1i@nasa.gov,41,California,2.48,high,1/10/25,"$7,511,765.39",8.49,77.24,28,11.94,0
Perceval,Hanhart,phanhart1j@nih.gov,77,Arizona,15.72,medium,12/25/24,"$5,607,860.78",10.04,78.46,10,6.52,0
Gram,Janman,gjanman1k@go.com,32,California,9.47,medium,1/16/25,"$3,515,578.85",0.07,54.38,26,13.44,1
Aleda,Motherwell,amotherwell1l@vk.com,62,California,15.01,medium,1/8/25,"$1,317,429.98",7.26,75.93,29,13.22,0
Eric,Kerwin,ekerwin1m@harvard.edu,33,California,6.32,medium,1/12/25,"$1,887,845.34",6.16,77.69,1,0.58,0
Austen,Dimanche,adimanche1n@nsw.gov.au,58,Washington,18.82,low,1/4/25,"$3,689,498.14",19.12,70.35,29,22.16,0
Loralee,Harrinson,lharrinson1o@blogspot.com,46,California,4.31,high,12/18/24,"$8,057,383.83",-6.11,56.13,6,7.46,1
Cornela,Scarfe,cscarfe1p@networkadvertising.org,79,Arizona,18.45,low,12/12/24,"$5,136,830.65",10.89,84.26,16,15.37,0
Gar,Devita,gdevita1q@businesswire.com,75,Arizona,12.74,medium,1/17/25,"$6,299,638.97",5.85,76.56,12,6.27,0
Jocko,Pacheco,jpacheco1r@fda.gov,56,California,12.73,low,12/23/24,"$5,464,945.11",12.34,77.78,11,1.19,0
Hyacinth,Boyne,hboyne1s@skyrock.com,61,California,13.46,high,1/7/25,"$5,936,678.51",0.98,62.35,1,6.08,0
Kayla,Jerwood,kjerwood1t@prweb.com,72,California,8.85,high,12/17/24,"$8,581,774.51",6.05,86.36,15,8.34,0
Ailsun,Roaf,aroaf1u@comcast.net,59,California,19.54,high,1/9/25,"$2,642,693.34",18.51,78.28,1,5.56,0
Bekki,Drohane,bdrohane1v@aboutads.info,79,California,18.82,high,12/25/24,"$768,927.04",15.34,73.99,21,11.97,0
Anderson,Binion,abinion1w@craigslist.org,57,California,16.27,high,12/30/24,"$4,429,038.78",3.87,72.36,21,21.32,0
Pattie,McKelvey,pmckelvey1x@ca.gov,27,California,2.62,medium,12/7/24,"$4,593,384.33",3.32,75.49,22,13.63,0
Vergil,Grimbleby,vgrimbleby1y@blogspot.com,49,California,6.53,high,12/12/24,"$9,276,669.94",5.09,88.86,13,3.1,0
Izak,Streatley,istreatley1z@timesonline.co.uk,68,Nevada,18.18,high,1/7/25,"$5,737,516.81",10.64,69.7,3,0.96,0
Gaile,Georger,ggeorger20@weibo.com,31,Arizona,6.29,high,1/14/25,"$3,328,921.18",10.64,76.03,12,5.83,0
Feodora,Mathewes,fmathewes21@sakura.ne.jp,39,Arizona,6.44,low,1/7/25,"$8,523,011.44",1.07,68.05,14,9.75,1
Tome,Zambon,tzambon22@google.com.hk,76,California,15.61,medium,1/2/25,"$8,813,577.95",6.46,88.02,5,3.58,0
Dolley,Hegarty,dhegarty23@wordpress.com,61,California,10.53,high,1/14/25,"$8,138,006.57",7.69,81.06,18,11.97,0
Englebert,Beckson,ebeckson24@nasa.gov,57,Oregon,19.87,high,12/24/24,"$2,681,558.14",11.41,76.88,19,16.75,0
Lamar,Brantl,lbrantl25@guardian.co.uk,50,California,5.26,medium,12/22/24,"$1,454,116.85",0.96,50.51,10,5.52,1
Fan,Longthorne,flongthorne26@mozilla.org,48,California,4.37,high,12/30/24,"$5,557,384.16",3.68,75.79,29,5.72,0
Ammamaria,Spatoni,aspatoni27@noaa.gov,33,Nevada,5.03,low,12/25/24,"$5,208,480.70",-0.81,56.3,25,17.76,0
Quill,Gery,qgery28@goo.gl,79,California,13.57,high,12/21/24,"$6,365,039.23",5.58,83.06,7,10.93,0
Diandra,Mawdsley,dmawdsley29@wikimedia.org,26,Oregon,0.02,low,12/15/24,"$8,046,090.93",4.63,70.26,8,10.88,0
Ula,Murricanes,umurricanes2a@weather.com,39,California,11.68,high,12/12/24,"$5,836,118.21",3.71,58.61,2,3.88,0
Florry,Knoton,fknoton2b@huffingtonpost.com,30,California,7.51,low,1/21/25,"$571,523.58",5.16,78.57,27,14.78,0
Ramon,Rowaszkiewicz,rrowaszkiewicz2c@cloudflare.com,80,California,15.09,medium,1/6/25,"$9,724,092.56",23.18,67.62,15,12.45,0
Glenn,Rooney,grooney2d@printfriendly.com,45,Washington,5.99,medium,12/13/24,"$6,489,151.89",5.13,80.68,23,11.13,0
Gates,Rollings,grollings2e@toplist.cz,36,California,7.15,high,1/4/25,"$7,652,501.79",1.53,53.17,14,7.86,1
Quent,Di Baudi,qdibaudi2f@ezinearticles.com,57,Washington,8.6,low,1/18/25,"$5,066,311.56",10.89,81.36,14,10.18,0
Suki,Jereatt,sjereatt2g@sfgate.com,65,California,16.03,high,12/26/24,"$8,591,162.17",21.65,88.4,15,7.6,0
Carley,Gosdin,cgosdin2h@tinyurl.com,55,California,16.37,low,1/23/25,"$3,576,533.50",16.49,83.08,6,6.64,0
Persis,Addekin,paddekin2i@goodreads.com,34,California,9.8,low,1/2/25,"$7,752,077.24",6.21,80.6,26,11.71,0
Peria,Mineghelli,pmineghelli2j@people.com.cn,51,California,19.99,low,12/10/24,"$8,979,305.54",14.13,81.29,23,8.06,0
Nelia,Marchenko,nmarchenko2k@rediff.com,76,California,14.29,medium,12/10/24,"$9,615,859.49",0.29,66.93,7,7.04,1
Emmery,Wakefield,ewakefield2l@skyrock.com,33,California,9.68,low,1/12/25,"$8,694,421.17",4.93,67.3,18,24.81,0
Jehu,MacFadzean,jmacfadzean2m@drupal.org,59,California,8.73,medium,12/7/24,"$6,796,942.25",4.48,81.04,25,14.28,0
Valentina,Brunon,vbrunon2n@opensource.org,75,Arizona,12.44,high,12/10/24,"$3,610,032.05",7,78.28,1,0.76,0
Iosep,Dobeson,idobeson2o@intel.com,35,California,9.15,medium,12/21/24,"$5,598,765.58",7.83,80.44,23,12.15,0
Nico,Pleager,npleager2p@nydailynews.com,40,California,5.75,medium,1/18/25,"$8,249,388.64",8.03,77.9,3,2.33,0
Linnet,Broggio,lbroggio2q@last.fm,50,California,7.74,low,12/7/24,"$170,894.24",1.27,66.04,29,11.59,0
Bell,Godman,bgodman2r@fastcompany.com,62,Arizona,14.83,low,1/11/25,"$832,732.06",8.57,78.08,14,5.69,0
Prue,Gendrich,pgendrich2s@smugmug.com,54,California,12.78,high,12/25/24,"$1,616,337.81",3.21,56.04,9,7.18,0
Aldo,Laugharne,alaugharne2t@dailymail.co.uk,65,California,11.94,medium,1/9/25,"$6,358,086.76",4.18,69.25,12,12.53,0
Maddi,McEneny,mmceneny2u@mayoclinic.com,27,California,1.74,low,12/7/24,"$8,441,964.05",0.78,89.18,5,4.38,0
Gray,Bruniges,gbruniges2v@domainmarket.com,56,California,18.07,medium,1/7/25,"$8,256,798.47",18.58,83.5,14,13.28,0
Thain,Wurst,twurst2w@disqus.com,74,Nevada,16.24,low,12/24/24,"$8,308,036.97",13.86,69.39,4,0.05,0
Karena,Singyard,ksingyard2x@sogou.com,59,California,11.05,low,12/21/24,"$6,781,518.38",3.06,70.2,9,10.3,0
Thaxter,Roles,troles2y@engadget.com,35,California,6.41,high,1/11/25,"$3,063,046.90",6.96,83.81,14,8.6,0
Lisbeth,Calliss,lcalliss2z@vistaprint.com,68,California,13,low,1/21/25,"$8,572,829.02",11.78,87.94,7,4.07,0
Bryon,Paulillo,bpaulillo30@webeden.co.uk,66,Arizona,9.57,low,12/16/24,"$3,176,726.39",11.7,85.75,24,9.54,0
Chadwick,Petroselli,cpetroselli31@nsw.gov.au,29,California,3.29,high,1/21/25,"$5,478,432.84",6.77,74.17,20,14.18,0
Earvin,Reedshaw,ereedshaw32@reference.com,79,California,14.94,low,1/3/25,"$5,980,702.97",9.96,80.11,1,6.38,0
Simonette,Cuppitt,scuppitt33@barnesandnoble.com,77,Nevada,12.46,high,12/14/24,"$7,325,442.79",6.89,80.82,27,22.38,0
Luz,Hassin,lhassin34@artisteer.com,51,California,16.98,high,1/6/25,"$3,986,908.62",7.06,85.92,5,8.09,0
Shawnee,Windeatt,swindeatt35@nydailynews.com,34,California,6.86,high,12/30/24,"$7,271,062.47",4.88,88.08,2,0.53,0
Maire,Kemmons,mkemmons36@ibm.com,51,California,10.03,low,12/16/24,"$1,007,265.53",-2.21,47.55,12,5.94,1
Sutton,Payn,spayn37@mozilla.org,49,California,9.05,high,1/16/25,"$7,501,761.16",6.82,80.24,8,5.36,0
Shandra,Blose,sblose38@google.nl,25,California,2.61,high,12/31/24,"$2,100,736.54",3.27,66.61,7,6.94,0
Lucinda,Stawell,lstawell39@tinyurl.com,61,California,16.94,medium,1/1/25,"$9,493,917.03",10.68,72.02,6,3.62,0
Guglielmo,Arbor,garbor3a@infoseek.co.jp,29,California,0.52,high,1/16/25,"$1,156,737.77",6.82,73.26,2,0.12,0
Cassi,Guyet,cguyet3b@tamu.edu,39,California,7.01,medium,12/22/24,"$9,630,973.49",-2.14,51.16,1,2.49,0
Rivi,Dunkerton,rdunkerton3c@google.fr,71,Arizona,17.99,low,12/13/24,"$2,425,374.54",12.47,89.85,14,8.77,0
Leontyne,Waliszewski,lwaliszewski3d@blinklist.com,47,California,7.69,high,12/15/24,"$3,597,451.54",1.4,68.45,22,24.22,0
Ynes,Ditt,yditt3e@home.pl,64,California,18.95,high,12/15/24,"$4,699,914.74",9.98,78.04,15,8.98,0
Paddie,Tewelson,ptewelson3f@businesswire.com,76,Washington,12.3,medium,12/30/24,"$5,102,819.73",-2.43,48.53,28,21.3,0
Cara,Sawyers,csawyers3g@yellowpages.com,30,Washington,7.75,high,12/26/24,"$879,634.26",1.88,58.6,28,18.22,0
Merla,Giorgione,mgiorgione3h@yellowbook.com,74,Arizona,18.05,high,12/30/24,"$353,984.39",12.35,80.59,5,1.71,0
Donni,Dennert,ddennert3i@vkontakte.ru,52,Oregon,15.02,low,12/11/24,"$3,936,390.45",20.44,79.33,16,9.42,0
Corabel,Metzke,cmetzke3j@friendfeed.com,61,California,13.65,high,1/22/25,"$920,566.94",1,63.03,9,3.93,0
Danila,Sebring,dsebring3k@issuu.com,63,California,15.58,high,1/12/25,"$6,646,245.09",14.51,80.71,19,19.55,0
Diane,Riggott,driggott3l@drupal.org,51,Arizona,10.14,high,12/12/24,"$2,329,187.11",20.15,81.33,29,11.31,0
Laney,Indgs,lindgs3m@chron.com,53,Washington,17.12,high,12/30/24,"$5,261,273.90",14.82,88.86,7,7.02,0
Almire,Agass,aagass3n@hugedomains.com,69,Arizona,20.28,low,12/23/24,"$7,096,810.99",7.48,86.12,12,5.26,0
Penn,Cholerton,pcholerton3o@sbwire.com,58,California,15.44,high,12/26/24,"$1,727,090.47",9.05,76.35,22,15.16,0
Meyer,Ohanessian,mohanessian3p@lulu.com,41,Washington,6.69,low,12/8/24,"$2,509,007.67",1.19,58.33,28,12.6,0
Munmro,Beche,mbeche3q@columbia.edu,78,California,9.22,low,12/22/24,"$4,004,783.40",9.01,73.41,8,5.6,0
Lela,Keyme,lkeyme3r@hugedomains.com,56,Washington,14.4,low,1/14/25,"$3,684,875.48",2.13,60.25,25,11.8,0
Electra,Saunt,esaunt3s@apache.org,77,California,12.57,medium,1/17/25,"$8,968,786.07",11.26,77.12,14,6.54,0
Yorgo,Nutty,ynutty3t@angelfire.com,41,California,9.05,low,12/26/24,"$3,793,441.75",3.2,67.74,9,4.84,0
Eryn,Gilham,egilham3u@360.cn,36,California,9.33,low,12/7/24,"$6,696,592.02",8.37,86.34,1,4.17,0
Damita,Challen,dchallen3v@indiatimes.com,25,California,3,high,12/21/24,"$5,185,083.14",1.12,64.42,4,2.15,0
Reena,Dunbobbin,rdunbobbin3w@china.com.cn,56,California,11.5,low,1/22/25,"$6,927,220.52",7.53,87.76,29,14.13,0
Logan,Dearness,ldearness3x@nature.com,49,California,7.97,low,1/17/25,"$6,509,704.12",6.27,77.08,4,4.01,0
Kym,Chivrall,kchivrall3y@slideshare.net,46,Washington,4.47,high,12/13/24,"$9,628,093.96",7.01,77.22,16,15.89,0
Red,Leith-Harvey,rleithharvey3z@opera.com,26,Oregon,0.82,high,1/4/25,"$5,838,617.40",7.89,76.92,22,12.98,0
Gwendolyn,Speak,gspeak40@scribd.com,30,Nevada,5.74,low,12/22/24,"$4,626,364.43",0.8,70.09,17,5.47,0
Abbye,Ivanchikov,aivanchikov41@soundcloud.com,36,California,7.8,low,12/13/24,"$247,452.00",3.07,64.1,30,25.74,0
Friedrich,Pretorius,fpretorius42@cdbaby.com,66,California,13.29,low,12/15/24,"$6,447,687.87",11.59,73.56,10,10.33,0
Roderic,Bambrough,rbambrough43@printfriendly.com,41,California,9.54,medium,12/17/24,"$7,651,773.27",-1.34,43.42,21,16.41,0
Jaime,Kabos,jkabos44@de.vu,44,California,9.64,high,1/20/25,"$9,102,828.68",-5.72,53.92,19,14.57,1
Danell,Uzielli,duzielli45@geocities.jp,45,California,7.25,medium,1/13/25,"$3,220,303.02",-0.06,79.86,20,15.5,0
Kaylyn,Karadzas,kkaradzas46@comsenz.com,45,California,8.69,low,1/10/25,"$7,300,974.65",-0.95,72.72,1,3.75,0
Otis,Eisikovitsh,oeisikovitsh47@simplemachines.org,25,California,3.47,high,12/30/24,"$1,499,591.66",-0.51,76.56,24,7.97,0
Hermann,Gorry,hgorry48@webs.com,29,California,4.51,low,1/17/25,"$6,625,904.18",1.03,52.77,17,9.62,0
Lianne,Spaxman,lspaxman49@reuters.com,62,Washington,19.48,low,12/29/24,"$9,223,289.46",14.31,75.64,16,6.11,0
Sapphira,Tours,stours4a@mapquest.com,65,California,12.08,medium,1/1/25,"$1,264,243.58",7.07,80.98,21,16.36,0
Eden,Tuffs,etuffs4b@shop-pro.jp,64,Nevada,13.89,high,12/28/24,"$367,190.87",4.1,74.25,14,10.62,0
Meryl,Knapp,mknapp4c@bloglines.com,76,Nevada,17.7,low,1/1/25,"$7,403,042.58",11.36,79.54,9,7.51,0
Vinny,Gander,vgander4d@arizona.edu,33,California,7.69,high,1/4/25,"$4,625,547.66",-1.87,45.74,9,8.34,0
Ermentrude,Doohey,edoohey4e@people.com.cn,66,California,12.98,high,1/20/25,"$5,307,759.71",-10.92,49.27,6,7.43,1
Korrie,Makepeace,kmakepeace4f@house.gov,57,California,15.86,medium,12/28/24,"$9,663,456.57",8.68,87.77,10,7.58,0
Davidson,Hunston,dhunston4g@twitter.com,56,California,16.17,low,1/18/25,"$1,133,944.96",6.4,77.65,26,18.49,0
Napoleon,Malenoir,nmalenoir4h@youku.com,34,California,6.37,high,1/5/25,"$9,744,717.31",5.77,75.69,20,14.88,0
Lilyan,Laughren,llaughren4i@last.fm,35,Arizona,6.25,medium,12/24/24,"$9,541,188.43",6.43,84.07,11,3.19,0
Liva,Mewett,lmewett4j@google.ca,49,California,8.52,medium,1/20/25,"$9,527,351.08",7.93,81.96,1,2.26,0
